,material_id,band_gap,is_gap_direct,symmetry.crystal_system
32685,mp-bqwhg,1.4401000000000002,False,monoclinic
32686,mp-bqwik,1.640299999999999,False,monoclinic
32687,mp-bqwue,0.8138000000000001,False,monoclinic
32688,mp-bqwut,1.3547,False,orthorhombic
32689,mp-bqxan,1.9108,False,tetragonal
32690,mp-brnsm,0.9257000000000001,False,monoclinic
32691,mp-bwzyf,1.4107,False,monoclinic
32692,mp-bsjap,1.1983,False,monoclinic
32693,mp-ckrmt,4.3122,False,triclinic
32694,mp-cpaly,4.1327,False,triclinic
32695,mp-cpamb,3.7203,True,trigonal
32696,mp-cqmek,4.3532,False,monoclinic
32697,mp-dlwgr,4.2349,False,monoclinic
32698,mp-dpjwx,2.142,False,orthorhombic
32699,mp-dpyxz,2.4757,False,orthorhombic
32700,mp-bmvx,3.1746,False,monoclinic
32701,mp-bnbx,4.1118,False,monoclinic
32702,mp-bvgz,0.669999999999999,False,triclinic
32703,mp-betdv,3.7533000000000003,True,monoclinic
32704,mp-betll,4.316000000000001,False,triclinic
32705,mp-bfosq,4.1219,False,monoclinic
32706,mp-bnpgu,4.276499999999999,True,triclinic
32707,mp-brabo,3.7052,False,monoclinic
32708,mp-brcdn,1.6175000000000002,True,orthorhombic
32709,mp-brcwz,3.266999999999999,False,monoclinic
32710,mp-brcxb,2.6362,False,monoclinic
32711,mp-brwmp,4.269,False,monoclinic
32712,mp-bsdul,3.9869,False,triclinic
32713,mp-bsdun,3.7306,False,monoclinic
32714,mp-bsenh,3.6167,True,monoclinic
32715,mp-bsenk,3.141499999999999,False,monoclinic
32716,mp-bwjrv,4.207599999999999,False,tetragonal
32717,mp-bsntv,1.422,True,monoclinic
32718,mp-brffv,4.3228,False,monoclinic
32719,mp-cpame,1.991099999999999,False,monoclinic
32720,mp-cpaoe,1.8388,False,triclinic
32721,mp-blos,1.0074,False,monoclinic
32722,mp-bqxwi,0.403699999999999,False,triclinic
32723,mp-brbjv,0.7791,False,triclinic
32724,mp-brtmd,0.513,False,triclinic
32725,mp-bqywh,3.3958,False,triclinic
32726,mp-bsfiw,3.4556,False,triclinic
32727,mp-bsntt,3.0633,True,monoclinic
32728,mp-blot,3.8712,False,triclinic
32729,mp-brfcu,4.015099999999999,True,orthorhombic
32730,mp-brxxe,3.8366,True,monoclinic
32731,mp-bseap,3.329399999999999,True,orthorhombic
32732,mp-bseqt,3.8739,False,triclinic
32733,mp-bqvnr,1.4847000000000001,False,monoclinic
