name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
NaFeO2,6858,R-3m,3,1.679,-1.80917220525585,0.002843844999998124
NaCuO2,14554,C2/m,3,0.873,-1.23287632607404,0.009754322499998969
KPrO2,3022,R-3m,3,3.737,-2.79000108356438,0.0
RbDyO2,3023,R-3m,3,3.704,-2.91155087460604,0.0
RbHoO2,3024,R-3m,3,3.854,-2.92551102627271,0.0021935162500001937
ReO3,17897,Pm-3m,2,0.0,-1.90076963815907,0.003951263749995881
NaNO2,2487,Imm2,3,2.453,-1.15755900948816,0.004032387500009893
RbEuO2,5308,R-3m,3,0.0,-2.10973106293938,0.18958904374999985
PtO,5057,P42/mmc,2,0.0,-0.448628197939378,0.14335232749999838
UO3,5086,Pm-3m,2,2.536,-3.10540211754009,0.025649994687499955
RbLaO2,5305,R-3m,3,3.691,-2.82850909293938,0.0
CrCuO2,5088,R-3m,3,1.787,-1.87288765067594,0.002953018750001535
CaO,20481,P63mc,2,3.481,-3.12330115043938,0.07265064249999709
CdO,20482,P63mc,2,0.218,-1.22604558293938,0.01369490333333001
FeAgO2,6134,R-3m,3,1.089,-1.19788795191794,0.0008176287500001322
CuO,3294,C2/c,2,0.0,-0.805811471282877,0.025722935000000002
MgO,22327,P63/mmc,2,3.615,-2.91228378502271,0.03400577250000003
SrCdO2,22270,P4/mmm,3,0.452,-2.06204610543938,0.03522881026434321
CuAgO2,16382,C2/m,3,0.0,-0.565773075236127,0.026946819999999816
LiCrO2,16688,R-3m,3,2.983,-2.44932507025419,0.0015698500000027593
NaAlO2,4130,R-3m,3,5.253,-2.76277081065229,0.06434017999999941
CaO2,3853,I4/mmm,2,2.964,-2.17319654058584,0.10666333499999991
MnCuO2,5833,C2/m,3,0.376,-1.54633147891409,0.0
CaFeO2,21996,P4/mmm,3,0.0,-2.31290294004294,0.05658750999999862
RbErO2,3025,R-3m,3,3.856,-2.94241997543938,0.0
RbTmO2,3026,R-3m,3,3.737,-2.95735132043938,0.0
RbYbO2,3027,R-3m,3,0.0,-2.08740068043938,0.2678885862499998
RbLuO2,3028,R-3m,3,3.746,-2.97232985668938,0.0
NaCrO2,18925,R-3m,3,2.903,-2.3317397054671,0.0035565500000038774
CaHgO2,14572,R-3m,3,2.334,-1.95030918168094,0.0014922875000045188
NiAgO2,13293,R-3m,3,0.0,-0.747164251423798,0.03100421375000051
LiMoO2,20992,R-3m,3,0.0,-2.02853896793938,0.07679027312499676
BaHgO2,13306,R-3m,3,2.457,-1.80310736918094,0.0
NaInO2,6137,R-3m,3,2.159,-1.88506667315229,0.0031543724999991696
LiVO2,22805,R-3m,3,1.92,-2.52194344426053,0.002137887499999991
RbScO2,6141,R-3m,3,3.638,-2.86666058918938,0.0023799499999999085
NaErO2,16663,R-3m,3,4.407,-3.08454897565229,0.0016442168749999375
VBr2O,4620,Immm,3,0.425,-1.59993611399876,0.0066841924999996305
LuAgO2,23340,R-3m,3,2.42,-2.57672190106438,0.0
InCuO2,10010,R-3m,3,0.691000000000001,-1.40852790586113,0.0018742574999999206
AgRhO2,23958,R-3m,3,0.545,-0.745707587314377,0.03462917937499799
PbO,3110,P4/nmm,2,1.175,-1.32143429543938,0.01099855249999715
CaCuO2,13620,P4/mmm,3,0.0,-2.02243212086113,0.005777690827953652
ZnO,4908,P63mc,2,1.044,-1.64890428793938,0.0008444824999973566
NiHO2,21575,P3m1,3,0.0,-0.938049775094842,0.15209200281249924
SnO,3126,P4/nmm,2,0.0,-1.53574424136498,0.0014287049999983648
NaMnO2,3382,C2/m,3,1.292,-2.01967775370526,0.002759827499999812
CrAgO2,2362,R-3m,3,1.758,-1.73061092462919,0.003511902499999886
Sr2SO,21087,P4/mmm,3,2.241,-2.39751245497303,0.22288926500000006
UO3,3142,Amm2,2,1.1,-2.94005363004009,0.1909984821874997
PdO,4684,P42/mmc,2,0.0,-0.649403047939377,0.0
BeO,3167,P63mc,2,7.918,-2.96620982793938,0.0
