name,entry_id,spacegroup,ntypes,band_gap,delta_e
RbTmO2,3026,R-3m,3,3.737,-2.95735132043938
RbYbO2,3027,R-3m,3,0.0,-2.08740068043938
RbLuO2,3028,R-3m,3,3.746,-2.97232985668938
NaCrO2,18925,R-3m,3,2.903,-2.3317397054671
CaHgO2,14572,R-3m,3,2.334,-1.95030918168094
NiAgO2,13293,R-3m,3,0.0,-0.747164251423798
LiMoO2,20992,R-3m,3,0.0,-2.02853896793938
BaHgO2,13306,R-3m,3,2.457,-1.80310736918094
NaInO2,6137,R-3m,3,2.159,-1.88506667315229
LiVO2,22805,R-3m,3,1.92,-2.52194344426053
RbScO2,6141,R-3m,3,3.638,-2.86666058918938
NaErO2,16663,R-3m,3,4.407,-3.08454897565229
VBr2O,4620,Immm,3,0.425,-1.59993611399876
LuAgO2,23340,R-3m,3,2.42,-2.57672190106438
InCuO2,10010,R-3m,3,0.691000000000001,-1.40852790586113
AgRhO2,23958,R-3m,3,0.545,-0.745707587314377
PbO,3110,P4/nmm,2,1.175,-1.32143429543938
CaCuO2,13620,P4/mmm,3,0.0,-2.02243212086113
ZnO,4908,P63mc,2,1.044,-1.64890428793938
NiHO2,21575,P3m1,3,0.0,-0.938049775094842
SnO,3126,P4/nmm,2,0.0,-1.53574424136498
NaMnO2,3382,C2/m,3,1.292,-2.01967775370526
CrAgO2,2362,R-3m,3,1.758,-1.73061092462919
Sr2SO,21087,P4/mmm,3,2.241,-2.39751245497303
UO3,3142,Amm2,2,1.1,-2.94005363004009
PdO,4684,P42/mmc,2,0.0,-0.649403047939377
BeO,3167,P63mc,2,7.918,-2.96620982793938
LiAlO2,5487,R-3m,3,6.673,-2.93298964543938
BaO,3061,P4/nmm,2,3.593,-2.54295045793938
SrFeO2,26573,P4/mmm,3,0.0,-2.26755776754294
LiGaO2,5507,R-3m,3,4.198,-2.17751749668938
O,20846,P63/mmc,1,0.0,0.0978031987500003
CdHgO2,13429,C2/m,3,0.667,-0.863034931680944
BaSrO2,22179,P4/mmm,3,2.407,-2.76113920793938
BaCaO2,22182,P4/mmm,3,2.132,-2.73560776793938
WO3,18878,Pm-3m,2,0.784,-2.41885696940907
MgO,20575,P63mc,2,3.634,-2.90752877752271
SrCaO2,22176,P4/mmm,3,3.351,-3.01844659793938
YCuO2,11368,R-3m,3,3.198,-2.63867609961113
LiRhO2,5699,R-3m,3,1.547,-1.42627049543938
NdNiO2,16771,P4/mmm,3,0.0,-2.3137747682988
NiHO2,21576,Cm,3,0.578,-0.994526255094842
BaO,22045,P63/mmc,2,2.483,-2.65650350543938
CuO,12668,Cc,2,0.0,-0.802799946282876
CsIO3,6316,Pm-3m,3,0.0,0.730957771987084
NaTaO3,5554,Pm-3m,3,2.548,-2.91635288969758
NaTlO2,4772,R-3m,3,0.846,-1.31656839690229
NaVO2,26833,R-3m,3,1.769,-2.40462210697344
