name,entry_id,spacegroup,ntypes,band_gap,delta_e
NdBrO,4484,P4/nmm,3,4.565,-3.1120293460982
CsHSO3,10196,R3m,4,6.221,-1.65270608230563
CsCuO,7207,Cmcm,3,1.56,-1.15884884585525
RbNaO,11420,P4/nmm,3,2.416,-1.2277033205768
RhO2,5528,P42/mnm,2,0.0,-1.0378010372525
InBrO,4515,Pmmn,3,2.149,-1.51065370776486
ThTeO,6294,P4/nmm,3,0.322000000000001,-2.85952917681819
EuClO,5536,P4/nmm,3,0.0,-2.44721316049929
OsO2,2971,P42/mnm,2,0.0,-1.16083538891917
HgO,4517,P3121,2,1.148,-0.454411862089178
InClO,4514,Pmmn,3,2.496,-1.64897271383263
NbO2,10057,P42/mnm,2,0.0,-2.69147021391917
Rb4NO,22401,P4/mmm,3,0.0,-0.133500518537044
RuO2,2972,P42/mnm,2,0.0,-1.26636842891917
BaSO4,4410,F-43m,3,4.868,-2.4323922129214
Pd2O,13990,Pn-3m,2,0.0,-0.293788061959585
PbO2,4264,P42/mnm,2,0.0,-1.1145642422525
SiO2,13603,I-42d,2,6.374,-3.0694488322525
ReO2,19777,P42/mnm,2,0.0,-1.5877428022525
RbNa2NiO2,13130,I4/mmm,4,0.0,-1.05312336331641
NdO2,11596,C2/m,2,3.671,-3.1225068622525
BiClO,5692,P4/nmm,3,2.664,-1.51723808549929
NaFe2O3,22542,C2/m,3,0.0,-1.65344158755273
SiO2,20578,I-42d,2,6.268,-3.0722065522525
PtO2,13992,Pn-3m,2,0.0,0.0474861310808308
PuIO,6077,P4/nmm,3,2.11,-2.85756165941679
SmOF,14766,R-3m,3,4.743,-4.10332100083662
Ba3ZnN2O,9964,P4/mmm,4,0.603,-1.1177073495094
PrBrO,24065,P4/nmm,3,4.493,-3.09997101693153
CsClO4,6282,F-43m,3,5.707,-0.955321361522357
SnO2,20078,Pnnm,2,1.2,-1.95334728286957
Tl2O,14000,C2/m,2,0.499,-0.719921208626252
ZnSO4,2198,F-43m,3,4.994,-1.6796781429214
SrPuO4,6145,R-3m,3,0.0,-2.75851964474305
EuO2,30117,P4/nmm,2,0.0,-1.95452493558584
BiIO,5693,P4/nmm,3,1.738,-1.15031291776902
CrBrO,5232,Pmmn,3,1.271,-1.89665768751795
AgClO4,6284,F-43m,3,2.749,-0.149251469439024
K4Br2O,12493,I4/mmm,3,1.196,-1.61793420295863
Sr4P2O,6379,I4/mmm,3,1.299,-1.67454137911409
LiGeBO4,12325,I-4,4,4.894,-2.33673068835929
Sr4As2O,6380,I4/mmm,3,1.299,-1.67421940226839
LiNd2HO3,10223,Immm,4,2.237,-2.68491887854578
Sr2CuCl2O2,2356,I4/mmm,4,0.0,-2.31910158066897
K2Sn2O3,3125,R-3m,3,1.21,-1.64949278447695
Ca2CuCl2O2,1811,I4/mmm,4,0.0,-2.29230475066897
Ca4As2O,12442,I4/mmm,3,1.391,-1.79506351655411
Ca2SiO4,7320,I4/mmm,3,4.498,-3.14820479978786
YClO,11332,R-3m,3,4.476,-3.35007904049929
Yb4As2O,24767,I4/mmm,3,1.041,-1.91619135655411
Gd2CuO4,7615,I4/mmm,3,0.0,-2.92976372002886
LiO,4780,P63/mmc,2,2.221,-1.62076050668938
Sr2RuO4,6346,I4/mmm,3,0.0,-2.315986307645
Pt3O4,30891,Im-3m,2,0.0,0.394140636640713
Sr2VO4,12560,I4/mmm,3,0.0,-2.90164260125709
TiClO,7060,Pmmn,3,0.0,-2.54121382176138
Sm2CuO4,12736,I4/mmm,3,0.0,-2.877159592886
Ag3BO3,5032,R32,3,0.0,-1.03941870716232
EuBrO,5537,P4/nmm,3,0.0,-2.27867045443153
Na2Ti2Sb2O,12639,I4/mmm,4,0.0,-1.18518008216494
AlAgO2,24390,P63/mmc,3,1.609,-2.17366387856438
KClO4,6279,F-43m,3,5.499,-0.90645781235569
LiCe2HO3,10222,Immm,4,2.08,-2.63208807926006
YbBi2ClO4,16072,P4/mmm,4,0.0,-1.93257102989177
BaZnBO3F,23449,P-6,5,3.901,-2.8049781295382
Sr2FeO4,12676,I4/mmm,3,0.0,-2.45081480170418
Li2CaSiO4,3762,I-42m,4,5.858,-2.90083527356438
SrUO4,6058,R-3m,3,2.886,-3.30960111100652
Ag3O,5037,P-31m,2,0.0,-0.164360415844689
Li2PrO3,19861,Cmmm,3,0.0,-2.31920589252271
LuFe2O4,12487,R-3m,3,0.0,-2.41957350219193
YbBi2BrO4,16085,P4/mmm,4,0.0,-1.89330135261636
SrCd3O4,22269,Pm-3m,3,0.0,-1.63801499418938
DyBi2BrO4,16080,P4/mmm,4,1.452,-2.25492888219969
Sr2SnO4,5244,I4/mmm,3,3.155,-2.62937200862375
Pr2CuO4,12075,I4/mmm,3,0.0,-2.79663015002886
Sr2TiO4,3859,I4/mmm,3,1.972,-3.2651776481859
TmBi2ClO4,16071,P4/mmm,4,1.63,-2.31598337239177
Nd2AlNO3,22677,I4mm,4,1.247,-2.94193786756854
Sr3CdO4,22271,Pm-3m,3,0.873,-2.49585751168938
AlPO4,20579,I-4m2,3,0.0,-0.237171407079159
LiLa2HO3,10221,Immm,4,2.101,-2.75132991568863
LiSiBO4,12326,I-4,4,7.06,-2.81364441835929
CsLiMoO4,3986,F-43m,4,4.587,-2.389940317645
LuBi2ClO4,16073,P4/mmm,4,1.675,-2.31481825176677
NdZnAsO,15295,P4/nmm,4,0.994000000000001,-1.89742751396969
K2Sn2O3,2098,R3,3,1.208,-1.65025414161981
TmBi2BrO4,16084,P4/mmm,4,1.622,-2.26630080386636
LuBi2BrO4,16086,P4/mmm,4,1.676,-2.26514098949136
DyBi2IO4,16094,P4/mmm,4,1.683,-2.16623284157625
Sr2MoO4,19563,I4/mmm,3,0.0,-2.70491190335929
TbBi2ClO4,16066,P4/mmm,4,1.574,-2.2147678779751
LaCuSeO,16601,P4/nmm,4,1.962,-2.20175779189144
GdBi2BrO4,16078,P4/mmm,4,1.431,-2.24374313730386
YbBi2IO4,16098,P4/mmm,4,0.0,-1.81654015074292
B2O,7550,C2/m,2,0.0,-0.583899096959585
Nd2CN2O2,14804,P-3m1,4,4.139,-2.2555174985635
SrHClO,24892,P63mc,4,5.288,-2.33256941967051
NdZnSbO,26696,P4/nmm,4,0.327,-1.76474947771969
Zr3PO2,13643,P-3m1,3,0.0,-2.03818389178624
UCdO4,4997,R-3m,3,2.932,-2.50222946600652
ErBi2BrO4,16083,P4/mmm,4,1.594,-2.26039373761636
HoBi2IO4,16096,P4/mmm,4,1.685,-2.16856335740958
Ca4P2O,12441,I4/mmm,3,1.393,-1.82444227768552
BaBeSiO4,15461,Cm,4,5.057,-3.16599254835929
LiMnO2,2990,Pmmn,3,1.032,-2.11809191724234
HoBi2ClO4,16069,P4/mmm,4,1.582,-2.30642894405843
HoBi2BrO4,16082,P4/mmm,4,1.574,-2.25675452053302
TbBi2BrO4,16079,P4/mmm,4,1.449,-2.16704450569969
TbBi2IO4,16093,P4/mmm,4,1.681,-2.07945267257625
Na4I2O,12238,I4/mmm,3,2.442,-1.45217673773457
UO2F2,6057,R-3m,3,4.974,-3.48981204450876
CsCu3O2,25785,C2/m,3,1.87,-0.972267996136416
YbFe2O4,2366,R-3m,3,0.831,-2.20414621433478
K2UO4,3812,I4/mmm,3,3.149,-2.75614868657702
ErFe2O4,12364,R-3m,3,0.0,-2.39524153576336
Na4Br2O,12270,I4/mmm,3,2.139,-1.65893404487386
Pr2CN2O2,14803,P-3m1,4,4.002,-2.22963453070636
Ca4Bi2O,26187,I4/mmm,3,0.993,-1.59407903655411
Pr2NiO4,14707,Fmmm,3,0.724,-2.84950941927896
Y2CN2O2,23086,P-3m1,4,4.122,-2.34110577570636
Ti6O,3786,P-31m,2,0.0,-0.920646846942334
Ba2SnO4,5245,I4/mmm,3,2.841,-2.57858799005232
Ba4Sb2O,24723,I4/mmm,3,0.824,-1.55967937083982
Nd2NiO4,12728,I4/mmm,3,0.563,-2.86276386856467
Yb2CN2O2,26327,P-3m1,4,0.0,-1.49093883713493
La2PdO4,7223,I4/mmm,3,0.0,-2.82232305907357
Ba2ZrO4,7156,I4/mmm,3,3.04,-3.27346114335929
La2CuO4,14617,I4/mmm,3,0.0,-2.84182519360029
Ca4Sb2O,3410,I4/mmm,3,1.082,-1.70788284083982
YUO4,3454,P2/m,3,1.118,-3.67732671517318
Ba2PbO4,5243,I4/mmm,3,1.602,-2.20938018335929
Sr2CrO4,23144,I4/mmm,3,0.0,-2.7044057818249
TbOF,5620,R-3m,3,5.186,-3.94344592822551
Er2CN2O2,19160,P-3m1,4,4.168,-2.39399512713493
NpO2F2,6082,R-3m,3,0.0,-3.04949144165244
Ho2CN2O2,26325,P-3m1,4,4.193,-2.38471749665874
NaClO2,1609,C2/c,3,2.58,-0.96896473205707
GdBi2IO4,16092,P4/mmm,4,1.539,-2.15617588168042
KClO2,11261,Cmcm,3,2.16,-0.984064110594158
PrBi2BrO4,16074,P4/mmm,4,1.431,-2.18293287105386
ErBi2IO4,15817,P4/mmm,4,1.709,-2.17014094574292
LaZnPO,15294,P4/nmm,4,0.654,-2.06184987620967
FeAgO2,2292,P63/mmc,3,1.157,-1.19731437816794
LaZnSbO,26695,P4/nmm,4,0.0,-1.87075904646969
LuBi2IO4,16099,P4/mmm,4,1.8,-2.17137852636792
YZnAsO,20732,P4/nmm,4,1.46,-1.91499109646969
NaTbO2,11524,I41/amd,3,4.174,-2.86394294431896
CeCdAsO,15647,P4/nmm,4,1.201,-1.79908765459469
BeO,3721,P42/mnm,2,7.509,-2.95038321043938
YBi2BrO4,16081,P4/mmm,4,1.443,-2.23970323574136
SmBi2ClO4,16063,P4/mmm,4,1.414,-2.26536265082927
LaZnAsO,20731,P4/nmm,4,0.784,-1.99743652771969
BaZnSO,21765,Cmcm,4,2.431,-1.95632385997303
AlCuO2,6014,P63/mmc,3,2.334,-2.33091151586113
Eu2VO4,2513,I4/mmm,3,0.463,-3.22313760839995
Na2UO4,3926,Cmmm,3,3.323,-2.68813031539177
EuBi2BrO4,16077,P4/mmm,4,0.0,-1.87853555886636
TmBi2IO4,16097,P4/mmm,4,1.741,-2.17494911199292
LiBO2,6426,I-42d,3,7.677,-2.59503314043938
SmMnSbO,26699,P4/nmm,4,0.0,-1.78254864639766
Ti3O,4353,P-31m,2,0.0,-1.43229575555939
CaZnSO,23081,P63mc,4,2.936,-2.06216457747303
LaMnSbO,26697,P4/nmm,4,0.0,-1.87874050452266
GdBi2ClO4,16065,P4/mmm,4,1.429,-2.29124587457927
RbAlO2,5505,Fd-3m,3,3.827,-2.72616486293938
KPH2SO3,13532,Cm,5,4.902,-1.73714242874724
CsAlO2,5504,Fd-3m,3,4.637,-2.72328738668938
RbScO2,6142,P63/mmc,3,3.736,-2.86887226418938
LiTlO2,6304,I41/amd,3,0.587,-1.32524208543938
KO,4777,Cmca,2,2.679,-1.26537347543938
SbO2,1780,Pna21,2,2.336,-1.63423333683584
BaCoO3,1781,Cmcm,3,0.775,-1.93243032891439
K3Nb3B2O12,1792,Cm,4,2.067,-2.70382968427725
NaTaO3,1796,Pnma,3,3.175,-2.91497036469758
TeO3,5212,R-3c,2,1.584,-1.1053904489924
NaPrO2,11523,I41/amd,3,3.595,-2.85326899377729
NaNbO2,5711,P63/mmc,3,1.529,-2.42324196565229
CrHO2,2117,Pmn21,3,2.254,-2.01480443955024
SrZrO3,1945,Cmcm,3,4.008,-3.47810130352725
YbHO2,4978,P21/m,3,0.0,-2.01881630598542
UTeO5,1964,Pbcm,3,3.093,-2.33326824396446
YBi2IO4,16095,P4/mmm,4,1.617,-2.15078826761792
AlAuO2,16450,P63/mmc,3,0.802,-2.08918355043938
K2V3O8,2013,P4bm,3,1.783,-2.37806363945261
LaBi2IO4,16087,P4/mmm,4,1.47,-2.14094019949292
HgO,2854,Pnma,2,1.078,-0.453005006672512
ReO3,13997,P4/mbm,2,0.0,-1.89990923440907
LiScO2,6004,I41/amd,3,4.324,-3.21185915043938
SmBi2IO4,16090,P4/mmm,4,1.581,-2.13489663668042
NdZnPO,15293,R-3m,4,1.476,-1.99357156995967
PrBi2IO4,16088,P4/mmm,4,1.586,-2.10041857668042
KNaV2O6,2095,C2/c,4,3.438,-2.33588202366934
LaAgSO,3132,P4/nmm,4,1.568,-2.18993696684803
GaCuO2,16451,P63/mmc,3,1.325,-1.58900777586113
BaTi2O5,2154,C2/m,3,1.846,-3.27160043712079
ReO3,22781,P6322,2,0.0,-1.79877686190907
GaAgO2,16452,P63/mmc,3,0.792,-1.44946645106438
AlHO2,21145,Pnnm,3,6.353,-2.47084821598542
U2Co3O8,2251,Pnnm,3,1.471,-2.37220079252964
RbScO2,1883,P63/mmc,3,3.752,-2.86904053918938
LiMoO2,20991,C2/m,3,0.0,-2.08818054543938
Sr4S3O,21086,Pm-3m,3,2.166,-2.31403535348985
GaAuO2,16453,P63/mmc,3,0.0,-1.37033994043938
GdCuSeO,14511,P4/nmm,4,1.793,-2.15038192876644
AlHO2,21144,Pmn21,3,6.183,-2.47925668598542
BaSr3O4,22180,Pm-3m,3,2.562,-2.83523000918938
NaBiO2,22025,C2/c,3,1.155,-1.61479878065229
BaCa3O4,22183,Pm-3m,3,2.319,-2.88075980043938
CrCuO2,14775,P63/mmc,3,1.783,-1.87179839817594
Sr4SO3,21088,Pm-3m,3,2.747,-2.5831269652062
SrCa3O4,22177,Pm-3m,3,3.46,-3.09026377668938
CdHClO,15953,P63mc,4,2.676,-1.29530201342051
Ba3CaO4,22181,Pm-3m,3,2.155,-2.68129267793938
CePRuO,14486,P4/nmm,4,0.0,-2.11956779808467
SrHBrO,24893,C2/m,4,4.54,-2.20231181636969
Sr3CaO4,22175,Pm-3m,3,3.532,-2.97297225293938
FeHO2,15503,Pmn21,3,1.371,-1.47101654933898
CsClO2,20606,Cmcm,3,2.408,-0.989945905594158
ScAlCO,26757,R-3m,4,0.434,-1.80655426459469
FeCuO2,12160,P63/mmc,3,1.056,-1.34340649171469
DyCuSeO,14512,P4/nmm,4,1.775,-2.15777689980811
LiInO2,7323,I41/amd,3,2.184,-1.93458631043938
LiErO2,16421,I41/amd,3,4.587,-3.18689454793938
EuCuSeO,20214,P4/nmm,4,0.0,-1.65742204939144
ZnGaNO,20342,Pmc21,4,0.532,-1.05451532405557
AgCNO,3722,P21/m,4,3.093,-0.386512157805566
CuAgO2,16275,P21/c,3,0.0,-0.567547927736127
NdCuSO,16559,P4/nmm,4,2.3,-2.21092730414478
CuCClO,11818,Pmn21,4,2.684,-0.805822301421219
KCuO2,2982,Cmcm,3,1.347,-1.23875624836113
CeZnSbO,15235,P4/nmm,4,0.0,-1.74392259709469
YAgO2,16458,P63/mmc,3,2.55,-2.47964647981438
LiTiO2,20782,I41/amd,3,0.0,-2.83713528263594
CeNiAsO,22501,P4/nmm,4,0.0,-1.58716802870411
ThCuPO,22463,P4/nmm,4,0.0,-2.24934132444204
RbClO2,20605,Cmcm,3,2.429,-0.978500618094158
NaGdO2,4064,I41/amd,3,4.132,-3.00806109502729
GaHO2,26799,Pmn21,3,3.6,-1.74625129223542
ScAuO2,16455,P63/mmc,3,2.089,-2.42854681543938
RbCuO2,2983,Cmcm,3,1.354,-1.21777029211113
CaFeO2,23261,P-421m,3,1.081,-2.34310671129294
LiFeO2,5982,I41/amd,3,1.04,-1.90427537254294
WO3,5421,P4/nmm,2,0.755,-2.44255336440907
NaNdO2,6005,I41/amd,3,3.724,-2.88785838565229
SmBi2BrO4,16076,P4/mmm,4,1.412,-2.21943358855386
PrZnSbO,24495,P4/nmm,4,0.0,-1.75659703084469
CsSbO2,11096,C2/c,3,2.54,-1.72499886293938
ScAgO2,16454,P63/mmc,3,2.302,-2.49325886856438
PrCuSO,16128,P4/nmm,4,2.22,-2.19452899226978
YAuO2,16459,P63/mmc,3,2.926,-2.43827075043938
Ba2CrO4,2411,Pna21,3,1.626,-2.65268151361061
KAg2AsO4,25098,I-42m,4,0.403,-1.21623754731438
LaCuTeO,19841,P4/nmm,4,1.437,-2.07021618397477
AgO,8207,P21/c,2,0.0,-0.264600584189377
LiMnO2,3215,Pmmn,3,1.031,-2.11773254224234
CaHClO,11552,P63mc,4,5.609,-2.33737809842051
SrCuO2,3351,Cmcm,3,0.0,-1.95758568961113
NaMnO2,3216,Pmmn,3,1.243,-2.01674395620526
Ba3SrO4,22178,Pm-3m,3,2.256,-2.71314556793938
CuBiSeO,13331,P4/nmm,4,0.787,-0.833968583141439
Co3O4,2498,Fd-3m,2,0.0,-1.02797402204602
FeBiO3,20551,R3,3,1.525,-1.1700873442101
RbSbO2,25356,C2/c,3,2.256,-1.72594335668938
InHO2,2974,Pmn21,3,2.259,-1.60390790098542
AgCNO,4434,Cmcm,4,2.073,0.211008393444434
AuCClO,6265,Cmcm,4,2.651,-0.634375462249469
UCuPO,14349,P4/nmm,4,0.0,-1.97667921976245
MoO3,14557,P21/m,2,1.972,-2.12934481565907
Nb2Cd2O7,2553,Fd-3m,3,2.03,-2.27625658237739
ScCuO2,11367,P63/mmc,3,2.921,-2.64093494711113
Pb3O4,2559,P2/m,2,1.227,-1.24042882657357
GdZnPO,26555,R-3m,4,1.424,-2.04563867683467
CoO,2579,Fm-3m,2,0.0,-0.858162793907228
Li3UO4,19007,I4/mmm,3,3.208,-2.78003114450489
KSbO2,25355,C2/c,3,2.081,-1.74773615793938
W3O,19304,Pm-3n,2,0.0,0.738930162280312
PbO,3082,Pbcm,2,2.109,-1.30289773918938
YCuO2,6614,P63/mmc,3,3.121,-2.63945266711113
LiYbO2,6403,I41/amd,3,0.0,-2.31302093668938
InAgO2,16456,Cmcm,3,0.432,-1.27157076856438
EuBi2IO4,16091,P4/mmm,4,0.0,-1.80950440574292
InHO2,21133,Pnnm,3,2.262,-1.59544071598542
BeZnO2,20134,I-42d,3,2.935,-2.26020370043938
PrBi2ClO4,16061,P4/mmm,4,1.433,-2.22497142457927
AlTlO2,5655,R-3m,3,2.362,-2.29501554918938
SmFeAsO,20692,P4/nmm,4,0.0,-1.75298191419825
NdBi2BrO4,16075,P4/mmm,4,1.318,-2.19733553699136
SmZnPO,26556,R-3m,4,1.405,-2.01898093308467
YHO2,2332,P21/m,3,4.409,-2.84388636223542
CeZnPO,26256,R-3m,4,1.192,-1.95336396058467
Eu4As2O,1866,I4/mmm,3,0.875,-1.92677552798268
InAuO2,16457,Cmcm,3,0.0,-1.19924227918938
VCu3O4,26526,I-42m,3,0.984,-1.39140150423258
YZnPO,26554,R-3m,4,1.607,-2.03143153745967
Rb2UO4,3941,I4/mmm,3,2.967,-2.73624924371987
Zr3O,14002,P6322,2,0.0,-1.47368367771969
VAg3O4,26405,I-42m,3,0.703,-1.16016287516245
DyZnPO,26557,R-3m,4,1.405,-2.05385901912634
Ta2O5,24181,C2,2,1.983,-2.67735765277054
RbAuO2,2998,Cmcm,3,1.568,-0.991346419189377
AgClO2,3550,Cmma,3,0.215,-0.0167331062191582
CsBiO2,24854,C2/c,3,2.426,-1.54953762168938
Cs2UO4,3940,I4/mmm,3,2.931,-2.72722224086273
PrZnPO,26257,R-3m,4,1.424,-1.97652401183467
Cr3O,3259,Pm-3n,2,0.0,0.140872642835867
CeMnSbO,26698,P4/nmm,4,0.0,-1.75847651389766
RbBiO2,24867,C2/c,3,2.208,-1.56019295418938
NaAuO2,25035,Cmcm,3,1.157,-0.974462633152289
CsSmO2,5311,P63/mmc,3,3.015,-2.76731370231438
Sm2CN2O2,14805,P-3m1,4,4.076,-2.29796946784922
LaOF,5881,R-3m,3,4.46,-4.15092745833662
Nb2O5,31135,C2/m,2,2.177,-2.83172701848482
TbFeAsO,27076,P4/nmm,4,0.0,-1.61920473598992
FeHO2,4721,Cmcm,3,1.538,-1.46591050933898
LaFeAsO,20746,P4/nmm,4,0.0,-1.81623393107325
NdBi2IO4,16089,P4/mmm,4,1.481,-2.11485362886792
TlGaO2,6290,R-3m,3,2.258,-1.46688758793938
CeFeAsO,20607,P4/nmm,4,0.0,-1.69480769919825
Tl3VO4,14570,Imm2,3,2.368,-1.60972681422495
SmFeAsO,20693,P4/nmm,4,0.0,-1.75298587544825
NdFeAsO,20842,P4/nmm,4,0.0,-1.73036234107325
GdFeAsO,27075,P4/nmm,4,0.0,-1.77863995794825
K3CrO4,18950,I-42m,3,1.382,-1.88236515347178
UCO5,15535,Imm2,3,4.163,-2.57038426277398
PrFePO,14485,P4/nmm,4,0.0,-1.79419610893823
BaFeSi4O10,2674,P21212,4,3.294,-2.91315987326261
Na4CoO3,2780,Cc,3,1.438,-1.46775540787232
RbLi2I3O9,2832,P21/c,4,3.724,-1.21465872601292
Zn2Mo3O8,2916,P63mc,3,1.713,-2.00487320938693
WO3,2919,P21/c,2,2.238,-2.38187596378407
Sr3UO6,2942,P21,3,3.58,-3.23878561177966
AgO,5376,C2/c,2,0.0,-0.262990654189377
SmFePO,14487,P4/nmm,4,0.0,-1.83784772518823
CsFeO2,26976,Fd-3m,3,1.597,-1.66260180754294
LuMnO3,3254,Cmc21,3,0.0,-3.02425573530296
K2CuPbN6O12,3324,Fm-3,5,0.0,-0.81595307519514
Sr2Ta2O7,3426,Cmc21,3,3.092,-3.29141595419557
NdFeAsO,20843,P4/nmm,4,0.0,-1.72946144232325
NaTaO3,3533,Pna21,3,3.177,-2.91387553869758
Sr2Cu2O3,12525,Fmmm,3,0.0,-1.44404777871575
RbFeO2,26975,Fd-3m,3,1.506,-1.61944615504294
PrFeAsO,20611,P4/nmm,4,0.0,-1.71523518669825
Li2UO4,3938,Fmmm,3,3.197,-2.63951224371987
SrNiO2,6685,Cmcm,3,1.253,-1.9589379482988
Bi2MoO6,3676,Pbca,3,0.0,-1.78483790808584
AgO,5373,C2/c,2,0.0,-0.263281084189377
NaPO3,3717,Pnma,3,5.583,-2.4982691913229
Na2Nb4O11,3744,C2/c,3,3.048,-2.72963430419821
CaB2O4,3802,Pccn,3,6.284,-2.94411333371643
Li3B5H2O10,3816,P41212,4,6.454,-2.41177813065779
Li3Pr2B3O9,3830,P21/c,4,5.137,-2.92118542325934
NbSbO4,3878,Pna21,3,2.347,-2.30814093058584
NaVO3,3933,C2/c,3,3.335,-2.3093733937545
Na8Si6SnO18,3979,C2/m,4,4.532,-2.62712522331764
NaNbO3,4069,Cmcm,3,1.908,-2.67006026769758
Pb3O4,4165,P-1,2,1.235,-1.22639798835929
Li4ZnP2O8,4188,P21,4,5.124,-2.51135901766333
YFeO3,4432,Pnma,3,1.155,-2.7436932902101
LiBH4O4,4438,Pbca,4,6.445,-1.72482786985017
FeC5O5,4468,Cc,3,3.611,-0.634948745028001
SeO2,4506,P42/mbc,2,3.481,-0.911055616002503
Ba3SrNb2O9,4624,P1,4,3.255,-3.06681986019392
Ba3SrTa2O9,4625,P1,4,3.896,-3.20918551719392
K2ZrSi3O9,4634,P21/m,4,5.602,-3.03149163152725
NdNiO3,4719,Pnma,3,0.0,-2.31044291431479
AgNO3,5076,Pbca,3,1.619,-0.425696379345953
Fe2Mo3O8,5279,P21,3,1.45,-2.00420597414296
Sm2O3,5385,I213,2,4.145,-3.68919581452725
Tl2O3,5430,I213,2,0.0,-0.916809891027253
Er2O3,5432,I213,2,4.24,-3.88520960677725
Ho2O3,5433,I213,2,4.281,-3.86167201611059
Dy2O3,5434,I213,2,4.16,-3.83731374419392
Gd2O3,5435,I213,2,4.201,-3.78004678852725
LaCoO3,5633,Pm-3m,3,0.526000000000001,-2.41638744991439
CoO,5673,F-43m,2,0.881,-1.24370120890723
LiCoO2,5701,R-3m,3,0.0,-1.5471009134233
SrVSi2O7,5859,Ama2,4,2.789,-2.98962355422145
CaTi4Cu3O12,5876,Im-3m,4,0.0,-2.14150112853756
LiAlSi4O10,5999,P2/c,4,5.81,-3.02051423086172
LiH2SO4,6123,Pnma,4,5.901999999999999,-1.60196028851834
Sc2O3,6306,I213,2,3.903,-3.79262894477725
Y2O3,6307,I213,2,4.304,-3.79532869927725
In2O3,6308,I213,2,1.426,-1.83110142852725
Tb2O3,6309,I213,2,4.182,-3.54766158189392
Lu2O3,6311,I213,2,4.319,-3.95325200652725
Na3LiTi2Si4H4O16,6330,C2/c,6,3.607,-2.56312922143081
H8SN2O4,6427,Pnma,4,6.054,-0.964104481712585
H8SN2O4,6428,Pna21,4,6.28,-0.969638679712585
Ba2Mn2As2O,13566,C2/m,4,0.372,-1.32253579290036
BHO2,6457,P-43n,3,7.696,-2.10362840765209
AgPbBrO,6385,P4/nmm,4,0.288,-0.876751277698648
CeFeAsO,20608,P4/nmm,4,0.0,-1.69483751919825
Fe3O4,6485,Pbcm,2,0.489,-1.61915304214396
LaFeAsO,22218,P4/nmm,4,0.0,-1.81709656482325
PrFeAsO,20612,P4/nmm,4,0.0,-1.71542318794825
FeHO2,1948,Cmc21,3,0.739,-0.966996029338981
LaFeAsO,20700,Cmma,4,0.0,-1.81799728982325
PbO,6712,Pca21,2,1.917,-1.26864995293938
BaN2O6,6601,Pa-3,3,3.38,-1.35118045093995
KFeO2,26974,Fd-3m,3,1.381,-1.57998262754294
Sr2SiO4,6669,P21,3,5.284,-3.22753524300215
Na2Pd3O4,2413,Immm,3,0.45,-1.04710885169092
SiO2,16288,P6422,2,5.869,-3.06798714558584
Li3Cu2O4,12150,C2/m,3,0.0,-1.46310655298767
SiO2,8287,P6222,2,5.745,-3.07169858669695
H4NClO4,6727,Pnma,4,6.028,-0.507602623821435
Li4CO4,23089,P-43m,3,4.835,-1.73886459011278
SiO2,15009,P3221,2,6.152,-3.06544059558584
Na4CO4,23097,P-43m,3,2.863,-1.47626516271351
Sb2PbO6,3610,P-31m,3,2.051,-1.71787165391917
K4CO4,23103,P-43m,3,3.196,-1.41940724566834
Rb4CO4,23111,P-43m,3,2.591,-1.37665873455722
Sr2CaWO6,6758,Pmm2,4,3.05,-2.97617513152725
CsBe2BO3F2,3778,C2,5,6.487,-3.0685108717665
NiAs2O6,14507,P-31m,3,2.715,-1.45000577463447
GdTe2ClO5,15686,P4/mmm,4,0.441000000000001,-1.90285501324217
Ba2Zn3As2O2,12404,I4/mmm,4,0.365,-1.35395682797306
SrSb2O6,13345,P-31m,3,3.094,-2.20278147058584
BaNdMn2O5,20175,P4/mmm,4,0.0,-2.70714920431306
Cs4CO4,23121,P-43m,3,2.269,-1.39941231677945
As2PdO6,23051,P-31m,3,0.0,-1.16653888169695
HgAs2O6,25362,P-31m,3,1.164,-1.27486780447098
BaPrMn2O5,20174,P4/mmm,4,0.0,-2.69564518014639
CdAs2O6,24195,P-31m,3,2.343,-1.51808615503028
SiO2,7178,P1,2,6.095,-3.06359227669695
RbBe2BO3F2,2369,C2,5,6.519,-3.07070829732205
BaYFeCuO5,12399,P4mm,5,0.0,-2.38330236827722
SiO2,22612,P3121,2,6.054,-3.06536770114139
GeO2,12165,P3221,2,3.539,-1.88636204558584
NaNiIO6,4345,C2,4,1.757,-0.92000139722113
BaYMn2O5,14993,P4/mmm,4,0.0,-2.7321111987575
BaCuB2O5,15134,C2,4,0.0,-2.41858290678675
Na5CuSO2,25728,P4/mmm,4,1.951,-1.32733535685734
FeH4Cl2O2,3157,C2/m,4,3.56,-1.23669069890519
U2Cl5O2,4202,Cmmm,3,0.0,-2.53282206832237
Sr2Cu3S2O2,15656,I4/mmm,4,0.0,-1.55885278164947
Sr2ZnCu2S2O2,15144,I4/mmm,5,1.039,-1.66514067035091
Li4CO4,23091,R3m,3,5.09,-1.71418040455722
MgH4Cl2O2,21954,C2/m,4,5.635,-1.5203407100999
K4CO4,23106,C2,3,2.58,-1.51788048344611
GeO2,22613,P3121,2,3.543,-1.8877137422525
Ba2Fe2S2OF2,23573,I4/mmm,5,1.393,-2.39063828099957
Ba2TlCuO5,12164,P4/mmm,4,0.0,-1.7286363062312
